Frequency (Hz)	Level (dB)
31.250000	-64.175735
62.500000	-65.285904
93.750000	-39.126072
125.000000	-33.297489
156.250000	-39.195747
187.500000	-59.587421
218.750000	-27.202604
250.000000	-21.662720
281.250000	-28.106609
312.500000	-49.054832
343.750000	-32.065647
375.000000	-27.716175
406.250000	-35.210457
437.500000	-58.295170
468.750000	-32.207260
500.000000	-27.946976
531.250000	-36.216209
562.500000	-46.233616
593.750000	-28.866486
625.000000	-24.849939
656.250000	-32.255348
687.500000	-39.713924
718.750000	-21.594440
750.000000	-18.364979
781.250000	-26.573977
812.500000	-45.848083
843.750000	-21.735111
875.000000	-18.167923
906.250000	-27.060307
937.500000	-46.127415
968.750000	-27.055958
1000.000000	-24.503460
1031.250000	-33.279819
1062.500000	-49.088932
1093.750000	-30.418806
1125.000000	-27.572998
1156.250000	-38.704731
1187.500000	-51.114872
1218.750000	-27.886282
1250.000000	-25.608734
1281.250000	-36.207180
1312.500000	-44.671890
1343.750000	-26.281652
1375.000000	-25.096670
1406.250000	-36.237392
1437.500000	-50.673527
1468.750000	-32.545368
1500.000000	-31.099247
1531.250000	-44.465267
1562.500000	-45.360916
1593.750000	-38.171623
1625.000000	-37.791180
1656.250000	-51.651772
1687.500000	-59.461140
1718.750000	-39.713951
1750.000000	-39.924885
1781.250000	-54.555645
1812.500000	-53.194874
1843.750000	-40.966957
1875.000000	-41.166649
1906.250000	-53.733601
1937.500000	-52.345409
1968.750000	-39.540672
2000.000000	-38.799316
2031.250000	-49.225834
2062.500000	-48.529572
2093.750000	-36.827034
2125.000000	-37.014889
2156.250000	-43.992756
2187.500000	-44.972759
2218.750000	-34.417767
2250.000000	-35.166855
2281.250000	-43.882786
2312.500000	-52.310730
2343.750000	-37.165443
2375.000000	-37.961018
2406.250000	-48.277912
2437.500000	-55.587673
2468.750000	-53.157482
2500.000000	-53.892189
2531.250000	-67.775574
2562.500000	-51.428143
2593.750000	-43.922096
2625.000000	-46.128433
2656.250000	-58.794456
2687.500000	-62.711632
2718.750000	-50.886322
2750.000000	-52.740128
2781.250000	-61.592587
2812.500000	-65.425880
2843.750000	-52.216900
2875.000000	-53.918243
2906.250000	-62.866234
2937.500000	-64.003197
2968.750000	-52.477566
3000.000000	-54.442837
3031.250000	-64.978386
3062.500000	-60.117081
3093.750000	-52.725559
3125.000000	-56.445389
3156.250000	-64.821915
3187.500000	-69.926506
3218.750000	-61.630100
3250.000000	-63.469959
3281.250000	-67.901978
3312.500000	-63.317978
3343.750000	-58.747665
3375.000000	-60.264194
3406.250000	-67.463661
3437.500000	-66.991402
3468.750000	-58.622921
3500.000000	-62.692371
3531.250000	-80.345627
3562.500000	-66.572395
3593.750000	-60.506653
3625.000000	-64.774879
3656.250000	-66.979698
3687.500000	-63.837097
3718.750000	-57.577709
3750.000000	-58.852142
3781.250000	-65.594421
3812.500000	-65.373695
3843.750000	-60.380981
3875.000000	-71.372726
3906.250000	-83.046547
3937.500000	-85.902580
3968.750000	-95.375877
